;country1;country2;index
0;United Kingdom;Ireland;0,914
1;Luxembourg;Spain;0,906
2;Germany;Luxembourg;0,882
3;Italy;Turkey;0,873
4;Belgium;Luxembourg;0,87
5;Finland;Luxembourg;0,868
6;Ireland;Spain;0,866
7;Belgium;Spain;0,863
8;United Kingdom;Spain;0,862
9;Latvia;Russia;0,859
10;Germany;Switzerland;0,85
11;Germany;Austria;0,846
12;Belgium;Switzerland;0,841
13;Greece;Cyprus;0,838
14;Netherlands;Sweden;0,831
15;United Kingdom;Luxembourg;0,83
16;Belgium;Austria;0,829
17;Germany;Spain;0,822
18;Luxembourg;Austria;0,819
19;Belgium;Germany;0,813
20;United Kingdom;Israel;0,81
21;Belgium;France;0,809
22;Belgium;United Kingdom;0,807
23;Greece;Italy;0,807
24;Ireland;Cyprus;0,805
25;Israel;Portugal;0,803
26;Greece;Turkey;0,802
27;France;Luxembourg;0,802
28;Poland;Slovakia;0,802
29;Portugal;Spain;0,801
30;Ireland;Luxembourg;0,801
31;Russia;Ukraine;0,801
32;Austria;Spain;0,797
33;Ireland;Israel;0,796
34;United Kingdom;Austria;0,795
35;Luxembourg;Netherlands;0,795
36;Austria;Switzerland;0,793
37;Slovenia;Spain;0,791
38;Russia;Slovakia;0,79
39;Ireland;Slovakia;0,79
40;Slovakia;Czech Republic;0,79
41;Luxembourg;Switzerland;0,789
42;Greece;Russia;0,788
43;Russia;Czech Republic;0,787
44;Greece;Ireland;0,786
45;Portugal;Slovenia;0,78
46;Spain;Czech Republic;0,778
47;Germany;Croatia;0,777
48;Croatia;Portugal;0,776
49;Finland;Netherlands;0,775
50;Croatia;Russia;0,775
51;Romania;Ukraine;0,773
52;Netherlands;Norway;0,773
53;United Kingdom;Cyprus;0,773
54;Slovakia;Spain;0,772
55;Israel;Slovenia;0,77
56;United Kingdom;Croatia;0,77
57;Romania;Russia;0,769
58;United Kingdom;Sweden;0,769
59;Belgium;Slovenia;0,769
60;Croatia;Poland;0,769
61;Poland;Romania;0,768
62;Estonia;Finland;0,768
63;Germany;Finland;0,768
64;Ireland;Poland;0,767
65;United Kingdom;Netherlands;0,765
66;Finland;Czech Republic;0,765
67;Latvia;Hungary;0,764
68;Belgium;Israel;0,762
69;Belgium;Ireland;0,758
70;Romania;Slovakia;0,757
71;Belgium;Hungary;0,755
72;Israel;Hungary;0,755
73;Greece;Croatia;0,754
74;Belgium;Sweden;0,754
75;Italy;Slovakia;0,753
76;Luxembourg;Portugal;0,753
77;Switzerland;Spain;0,752
78;Greece;Spain;0,751
79;Ireland;Netherlands;0,75
80;Luxembourg;Czech Republic;0,749
81;Luxembourg;Slovenia;0,749
82;Finland;Spain;0,748
83;Israel;Austria;0,748
84;France;Switzerland;0,746
85;Estonia;Luxembourg;0,746
86;Estonia;Russia;0,746
87;Croatia;Hungary;0,744
88;Ireland;Croatia;0,744
89;Denmark;Austria;0,743
90;Slovenia;Hungary;0,743
91;Belgium;Netherlands;0,743
92;Czech Republic;Ukraine;0,742
93;Finland;Norway;0,741
94;Croatia;Czech Republic;0,741
95;Portugal;Turkey;0,74
96;Germany;Iceland;0,739
97;Poland;Czech Republic;0,738
98;Israel;Russia;0,738
99;Italy;Poland;0,738
100;Israel;Spain;0,737
101;United Kingdom;Slovenia;0,737
102;Croatia;Latvia;0,737
103;Austria;Portugal;0,737
104;France;Spain;0,736
105;Israel;Sweden;0,736
106;Belgium;Croatia;0,736
107;Latvia;Poland;0,736
108;Ireland;Italy;0,735
109;Germany;Israel;0,735
110;Poland;Russia;0,733
111;United Kingdom;Portugal;0,733
112;Denmark;Netherlands;0,732
113;Luxembourg;Sweden;0,732
114;Denmark;Norway;0,73
115;Italy;Spain;0,729
116;Greece;Latvia;0,728
117;Poland;Turkey;0,726
118;Poland;Spain;0,726
119;Spain;Cyprus;0,726
120;Israel;Cyprus;0,725
121;Ireland;Austria;0,725
122;Ireland;Slovenia;0,725
123;Germany;United Kingdom;0,725
124;Ireland;Sweden;0,724
125;Germany;Estonia;0,724
126;Romania;Czech Republic;0,723
127;Norway;Sweden;0,721
128;Ireland;Czech Republic;0,719
129;Ireland;Russia;0,718
130;Estonia;Spain;0,718
131;Israel;Netherlands;0,718
132;United Kingdom;Hungary;0,718
133;Finland;United Kingdom;0,718
134;Germany;Portugal;0,717
135;Slovenia;Turkey;0,716
136;Portugal;Czech Republic;0,716
137;Luxembourg;Norway;0,715
138;United Kingdom;Slovakia;0,715
139;Poland;Ukraine;0,714
140;Denmark;Germany;0,712
141;Netherlands;Spain;0,712
142;Latvia;Czech Republic;0,711
143;Netherlands;Czech Republic;0,711
144;Portugal;Russia;0,711
145;Croatia;Cyprus;0,71
146;Israel;Croatia;0,71
147;Sweden;Spain;0,71
148;Spain;Hungary;0,709
149;Norway;Czech Republic;0,708
150;Iceland;Switzerland;0,708
151;Finland;Sweden;0,707
152;Israel;Turkey;0,707
153;Israel;Ukraine;0,707
154;Italy;Slovenia;0,707
155;Belgium;Finland;0,706
156;Estonia;Czech Republic;0,705
157;Ireland;Portugal;0,704
158;Croatia;Spain;0,703
159;Finland;Austria;0,703
160;Slovakia;Ukraine;0,702
161;Romania;Turkey;0,702
162;Netherlands;Austria;0,702
163;Croatia;Ukraine;0,701
164;Austria;Slovenia;0,701
165;Finland;Ireland;0,699
166;Greece;Poland;0,699
167;Estonia;Croatia;0,698
168;Germany;Czech Republic;0,697
169;United Kingdom;Poland;0,697
170;Belgium;Portugal;0,697
171;United Kingdom;Czech Republic;0,696
172;Denmark;Luxembourg;0,696
173;Denmark;Sweden;0,695
174;Luxembourg;Poland;0,692
175;Austria;Sweden;0,691
176;Estonia;Ukraine;0,69
177;Germany;Netherlands;0,69
178;United Kingdom;Norway;0,69
179;Denmark;Finland;0,69
180;Israel;Latvia;0,689
181;Germany;France;0,689
182;Germany;Sweden;0,688
183;Austria;Hungary;0,685
184;Portugal;Slovakia;0,685
185;Croatia;Netherlands;0,685
186;Portugal;Romania;0,683
187;Austria;Cyprus;0,683
188;Iceland;Austria;0,683
189;Finland;Croatia;0,681
190;Latvia;Ukraine;0,68
191;Slovakia;Turkey;0,68
192;Germany;Slovenia;0,679
193;Denmark;Iceland;0,678
194;Spain;Turkey;0,677
195;Germany;Ireland;0,677
196;Greece;Israel;0,677
197;Latvia;Slovenia;0,676
198;Croatia;Slovakia;0,675
199;Greece;Portugal;0,675
200;Sweden;Czech Republic;0,674
201;Belgium;Denmark;0,674
202;Spain;Ukraine;0,674
203;Slovakia;Slovenia;0,673
204;Greece;United Kingdom;0,672
205;Croatia;Slovenia;0,672
206;Italy;Portugal;0,671
207;Finland;France;0,671
208;Luxembourg;Slovakia;0,671
209;Ireland;Turkey;0,671
210;United Kingdom;Italy;0,67
211;Ireland;Hungary;0,669
212;Croatia;Norway;0,669
213;Austria;Czech Republic;0,669
214;Israel;Norway;0,669
215;Switzerland;Slovenia;0,667
216;Iceland;Luxembourg;0,665
217;Luxembourg;Hungary;0,663
218;Poland;Portugal;0,662
219;France;Sweden;0,662
220;Greece;Slovenia;0,661
221;Netherlands;Slovenia;0,661
222;Italy;Czech Republic;0,661
223;Germany;Russia;0,66
224;Finland;Poland;0,658
225;Denmark;Switzerland;0,658
226;Italy;Luxembourg;0,658
227;Portugal;Ukraine;0,657
228;Latvia;Romania;0,656
229;Israel;Czech Republic;0,656
230;Finland;Israel;0,655
231;Greece;Slovakia;0,655
232;United Kingdom;Russia;0,655
233;Croatia;Switzerland;0,654
234;Estonia;Latvia;0,653
235;Latvia;Slovakia;0,653
236;Denmark;United Kingdom;0,653
237;Belgium;Cyprus;0,652
238;Hungary;Cyprus;0,652
239;Russia;Turkey;0,651
240;United Kingdom;Switzerland;0,65
241;Greece;Romania;0,649
242;Israel;Poland;0,648
243;Slovenia;Czech Republic;0,648
244;Belgium;Czech Republic;0,648
245;Austria;Russia;0,648
246;Norway;Spain;0,647
247;Czech Republic;Cyprus;0,647
248;Germany;Norway;0,646
249;France;Iceland;0,646
250;Ireland;Norway;0,645
251;Portugal;Sweden;0,644
252;Russia;Cyprus;0,644
253;Estonia;Austria;0,641
254;Latvia;Portugal;0,64
255;Finland;Switzerland;0,64
256;Croatia;Romania;0,639
257;France;Israel;0,638
258;Germany;Cyprus;0,638
259;France;Austria;0,638
260;Israel;Switzerland;0,638
261;Latvia;Cyprus;0,638
262;Slovakia;Cyprus;0,636
263;Sweden;Slovenia;0,636
264;Slovenia;Cyprus;0,634
265;France;Slovenia;0,633
266;Portugal;Cyprus;0,633
267;Sweden;Switzerland;0,633
268;Denmark;Croatia;0,633
269;Denmark;Czech Republic;0,632
270;Poland;Slovenia;0,632
271;Greece;Luxembourg;0,63
272;Finland;Slovakia;0,629
273;Estonia;United Kingdom;0,629
274;Netherlands;Slovakia;0,628
275;Portugal;Switzerland;0,628
276;France;United Kingdom;0,624
277;Austria;Poland;0,623
278;Israel;Slovakia;0,621
279;Netherlands;Poland;0,62
280;Belgium;Greece;0,62
281;Luxembourg;Turkey;0,62
282;Norway;Poland;0,62
283;Czech Republic;Turkey;0,619
284;Croatia;Sweden;0,618
285;Germany;Latvia;0,616
286;Estonia;Portugal;0,616
287;Belgium;Iceland;0,616
288;Netherlands;Portugal;0,616
289;Russia;Spain;0,615
290;France;Ireland;0,615
291;Estonia;Ireland;0,615
292;Finland;Portugal;0,614
293;Greece;Hungary;0,614
294;Ireland;Switzerland;0,613
295;United Kingdom;Turkey;0,613
296;Germany;Poland;0,613
297;Norway;Austria;0,612
298;Norway;Portugal;0,611
299;Netherlands;Switzerland;0,611
300;Iceland;Spain;0,611
301;Estonia;Poland;0,61
302;Greece;Austria;0,61
303;Turkey;Ukraine;0,609
304;Germany;Hungary;0,608
305;Italy;Ukraine;0,607
306;Switzerland;Hungary;0,607
307;Finland;Iceland;0,606
308;United Kingdom;Latvia;0,606
309;Estonia;Slovakia;0,606
310;Belgium;Estonia;0,605
311;Italy;Austria;0,605
312;Poland;Cyprus;0,605
313;Ireland;Latvia;0,605
314;Ireland;Ukraine;0,604
315;Greece;Czech Republic;0,603
316;Finland;Slovenia;0,602
317;Belgium;Norway;0,598
318;Belgium;Latvia;0,598
319;Italy;Hungary;0,598
320;Austria;Slovakia;0,598
321;Denmark;Ireland;0,597
322;France;Netherlands;0,597
323;Germany;Ukraine;0,596
324;France;Hungary;0,596
325;United Kingdom;Iceland;0,594
326;Denmark;Spain;0,593
327;Iceland;Norway;0,593
328;Luxembourg;Ukraine;0,591
329;Estonia;Iceland;0,591
330;Russia;Slovenia;0,591
331;Finland;Ukraine;0,591
332;Russia;Hungary;0,589
333;United Kingdom;Ukraine;0,588
334;Norway;Slovakia;0,587
335;Estonia;Norway;0,587
336;France;Portugal;0,586
337;Austria;Turkey;0,586
338;Sweden;Slovakia;0,586
339;Netherlands;Hungary;0,585
340;Norway;Ukraine;0,585
341;Portugal;Hungary;0,583
342;Finland;Russia;0,583
343;Bulgaria;Ireland;0,583
344;Israel;Romania;0,583
345;Estonia;France;0,582
346;Belgium;Poland;0,582
347;Germany;Slovakia;0,581
348;Iceland;Sweden;0,58
349;Netherlands;Cyprus;0,579
350;Germany;Italy;0,578
351;Latvia;Turkey;0,578
352;Germany;Turkey;0,577
353;Bulgaria;United Kingdom;0,577
354;Belgium;Italy;0,576
355;Romania;Slovenia;0,576
356;Estonia;Romania;0,576
357;Denmark;Israel;0,575
358;Belgium;Russia;0,573
359;Bulgaria;Poland;0,569
360;Latvia;Spain;0,569
361;Greece;Ukraine;0,568
362;Iceland;Czech Republic;0,567
363;Iceland;Portugal;0,567
364;Belgium;Slovakia;0,566
365;Austria;Ukraine;0,564
366;Belgium;Turkey;0,562
367;Denmark;France;0,561
368;France;Norway;0,561
369;Bulgaria;Russia;0,56
370;Latvia;Switzerland;0,559
371;Sweden;Hungary;0,559
372;Bulgaria;Estonia;0,558
373;Estonia;Slovenia;0,557
374;Czech Republic;Hungary;0,556
375;Estonia;Netherlands;0,556
376;Bulgaria;Slovakia;0,555
377;France;Czech Republic;0,554
378;Italy;Netherlands;0,553
379;Estonia;Switzerland;0,551
380;Bulgaria;Germany;0,55
381;Denmark;Portugal;0,55
382;Croatia;Turkey;0,549
383;France;Croatia;0,548
384;Finland;Latvia;0,548
385;Slovakia;Hungary;0,547
386;Denmark;Estonia;0,546
387;Estonia;Israel;0,545
388;Denmark;Poland;0,544
389;Netherlands;Ukraine;0,543
390;Iceland;Netherlands;0,543
391;Switzerland;Cyprus;0,542
392;Bulgaria;Portugal;0,541
393;Ireland;Romania;0,54
394;Norway;Russia;0,54
395;Finland;Hungary;0,539
396;Bulgaria;Croatia;0,538
397;Switzerland;Czech Republic;0,538
398;Estonia;Sweden;0,538
399;Norway;Switzerland;0,538
400;United Kingdom;Romania;0,538
401;Germany;Greece;0,536
402;Ukraine;Cyprus;0,535
403;Netherlands;Russia;0,535
404;Bulgaria;Austria;0,535
405;Norway;Slovenia;0,534
406;Slovenia;Ukraine;0,533
407;France;Cyprus;0,532
408;Finland;Italy;0,531
409;Norway;Romania;0,531
410;Romania;Hungary;0,53
411;Norway;Cyprus;0,53
412;Belgium;Bulgaria;0,53
413;Greece;Netherlands;0,529
414;Turkey;Cyprus;0,528
415;Sweden;Cyprus;0,527
416;Netherlands;Turkey;0,527
417;Latvia;Netherlands;0,525
418;Bulgaria;Hungary;0,525
419;Poland;Sweden;0,523
420;Greece;Switzerland;0,522
421;Romania;Cyprus;0,521
422;Switzerland;Turkey;0,519
423;Estonia;Italy;0,517
424;Poland;Switzerland;0,516
425;Turkey;Hungary;0,515
426;Netherlands;Romania;0,513
427;Bulgaria;Spain;0,512
428;Italy;Switzerland;0,51
429;Bulgaria;Ukraine;0,509
430;Denmark;Slovenia;0,507
431;Bulgaria;Israel;0,505
432;Sweden;Ukraine;0,505
433;Estonia;Hungary;0,504
434;Belgium;Ukraine;0,503
435;Russia;Sweden;0,503
436;Romania;Spain;0,499
437;Bulgaria;Finland;0,499
438;Finland;Cyprus;0,498
439;Poland;Hungary;0,498
440;Latvia;Norway;0,497
441;Belgium;Romania;0,494
442;Ireland;Iceland;0,493
443;Iceland;Slovenia;0,492
444;Bulgaria;Slovenia;0,492
445;France;Poland;0,49
446;Bulgaria;Latvia;0,49
447;Norway;Turkey;0,488
448;Germany;Romania;0,487
449;Finland;Greece;0,484
450;Denmark;Ukraine;0,482
451;Estonia;Turkey;0,482
452;Estonia;Cyprus;0,481
453;France;Slovakia;0,481
454;Bulgaria;Netherlands;0,48
455;France;Greece;0,48
456;Italy;Norway;0,477
457;Russia;Switzerland;0,476
458;Finland;Romania;0,474
459;Finland;Turkey;0,473
460;Denmark;Hungary;0,473
461;Italy;Sweden;0,471
462;Latvia;Sweden;0,47
463;Bulgaria;Czech Republic;0,469
464;Estonia;Greece;0,468
465;Denmark;Slovakia;0,467
466;Greece;Norway;0,462
467;Denmark;Latvia;0,462
468;Denmark;Cyprus;0,459
469;Greece;Sweden;0,459
470;Romania;Sweden;0,456
471;France;Italy;0,455
472;Denmark;Greece;0,455
473;Switzerland;Slovakia;0,453
474;Bulgaria;Greece;0,449
475;Sweden;Turkey;0,449
476;Iceland;Poland;0,449
477;France;Turkey;0,447
478;Bulgaria;Norway;0,447
479;Denmark;Russia;0,446
480;Bulgaria;Cyprus;0,445
481;Iceland;Ukraine;0,441
482;Denmark;Turkey;0,44
483;France;Latvia;0,439
484;Denmark;Italy;0,435
485;Bulgaria;France;0,432
486;France;Ukraine;0,431
487;France;Russia;0,43
488;Switzerland;Ukraine;0,427
489;Ukraine;Hungary;0,426
490;Romania;Switzerland;0,425
491;Greece;Iceland;0,425
492;Bulgaria;Sweden;0,422
493;Norway;Hungary;0,422
494;Denmark;Romania;0,414
495;Iceland;Hungary;0,413
496;Iceland;Turkey;0,407
497;Bulgaria;Denmark;0,403
498;Bulgaria;Switzerland;0,392
499;France;Romania;0,389
500;Bulgaria;Turkey;0,387
501;Iceland;Slovakia;0,381
502;Iceland;Italy;0,364
